Id,Category
0,1
1,1
2,1
3,0
4,2
5,1
6,1
7,0
8,2
9,1
10,0
11,0
12,1
13,0
14,2
15,1
16,0
17,0
18,2
19,1
20,0
21,2
22,1
23,2
24,0
25,0
26,0
27,0
28,2
29,1
30,2
31,2
32,0
33,0
34,0
35,2
36,0
37,0
38,2
39,2
40,1
41,2
42,0
43,1
44,1
45,0
46,0
47,0
48,2
49,1
50,0
51,2
52,1
53,2
54,1
55,1
56,2
57,1
58,2
59,1
60,0
61,0
62,2
63,0
64,0
65,0
66,0
67,2
68,2
69,2
70,2
71,0
72,1
73,0
74,2
75,1
76,2
77,1
78,0
79,1
80,0
81,1
82,1
83,1
84,1
85,0
86,0
87,0
88,2
89,2
90,2
91,2
92,0
93,1
94,0
95,1
96,2
97,1
98,2
99,0
100,1
101,0
102,0
103,0
104,1
105,2
106,0
107,0
108,0
109,2
110,0
111,1
112,2
113,0
114,1
115,1
116,2
117,1
118,0
119,1
120,1
121,1
122,0
123,2
124,2
125,0
126,1
127,2
128,2
129,2
130,1
131,2
132,1
133,1
134,2
135,0
136,1
137,2
138,1
139,0
140,2
141,0
142,0
143,0
144,2
145,0
146,0
147,0
148,1
149,2
150,2
151,0
152,1
153,0
154,0
155,0
156,0
157,1
158,0
159,1
160,1
161,1
162,2
163,0
164,0
165,2
166,1
167,1
168,0
169,0
170,0
171,1
172,1
173,0
174,0
175,0
176,1
177,0
178,1
179,1
180,0
181,0
182,0
183,1
184,0
185,0
186,0
187,0
188,1
189,2
190,1
191,0
192,1
193,1
194,1
195,0
196,0
197,0
198,0
199,1
200,0
201,0
202,1
203,0
204,2
205,2
206,0
207,0
208,2
209,0
210,2
211,1
212,2
213,0
214,1
215,0
216,2
217,1
218,0
219,0
220,1
221,2
222,0
223,2
224,2
225,2
226,0
227,0
228,0
229,2
230,1
231,0
232,2
233,2
234,0
235,1
236,0
237,2
238,2
239,2
240,1
241,2
242,0
243,0
244,1
245,1
246,1
247,2
248,2
249,1
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,1
258,0
259,2
260,0
261,0
262,2
263,1
264,0
265,0
266,2
267,2
268,2
269,2
270,1
271,0
272,0
273,0
274,1
275,0
276,1
277,1
278,0
279,0
280,0
281,2
282,2
283,1
284,2
285,0
286,0
287,1
288,2
289,0
290,0
291,1
292,2
293,1
294,0
295,1
296,0
297,2
298,2
299,2
300,0
301,2
302,1
303,0
304,0
305,2
306,0
307,0
308,0
309,1
310,0
311,0
312,0
313,0
314,1
315,2
316,0
317,0
318,0
319,1
320,0
321,2
322,1
323,1
324,2
325,2
326,0
327,0
328,1
329,1
330,1
331,0
332,1
333,0
334,0
335,1
336,2
337,1
338,2
339,1
340,0
341,0
342,2
343,2
344,2
345,0
346,1
347,1
348,1
349,0
350,1
351,0
352,2
353,1
354,0
355,2
356,0
357,1
358,2
359,2
360,1
361,2
362,0
363,1
364,0
365,0
366,2
367,0
368,0
369,2
370,2
371,2
372,2
373,0
374,2
375,2
376,1
377,0
378,1
379,0
380,0
381,2
382,0
383,0
384,2
385,2
386,0
387,2
388,0
389,0
390,2
391,1
392,1
393,0
394,2
395,1
396,0
397,0
398,0
399,2
400,1
401,0
402,2
403,0
404,0
405,1
406,1
407,1
408,0
409,0
410,2
411,0
412,2
413,1
414,1
415,0
416,1
417,2
418,0
419,1
420,1
421,0
422,0
423,0
424,1
425,0
426,1
427,1
428,0
429,2
430,1
431,1
432,0
433,2
434,0
435,2
436,2
437,2
438,0
439,2
440,0
441,2
442,2
443,0
444,0
445,1
446,2
447,2
448,0
449,0
450,0
451,0
452,1
453,1
454,2
455,1
456,0
457,1
458,2
459,0
460,2
461,0
462,0
463,1
464,1
465,2
466,0
467,1
468,1
469,0
470,1
471,1
472,2
473,1
474,1
475,0
476,0
477,2
478,2
479,1
480,1
481,2
482,1
483,0
484,0
485,2
486,2
487,0
488,2
489,2
490,1
491,0
492,0
493,1
494,2
495,0
496,0
497,2
498,0
499,1
500,0
501,2
502,0
503,0
504,0
505,0
506,2
507,2
508,0
509,0
510,0
511,1
512,0
513,1
514,0
515,0
516,2
517,0
518,2
519,1
520,0
521,2
522,0
523,0
524,0
525,2
526,1
527,2
528,2
529,2
530,1
531,2
532,2
533,2
534,0
535,1
536,0
537,1
538,0
539,2
540,1
541,0
542,1
543,0
544,1
545,0
546,2
547,0
548,2
549,1
550,1
551,0
552,0
553,1
554,1
555,2
556,0
557,1
558,0
559,1
560,1
561,2
562,2
563,1
564,1
565,1
566,0
567,2
568,1
569,0
570,2
571,2
572,2
573,2
574,2
575,1
576,1
577,1
578,2
579,0
580,0
581,2
582,0
583,0
584,0
585,0
586,1
587,0
588,1
589,1
590,0
591,0
592,0
593,1
594,2
595,2
596,1
597,0
598,1
599,0
600,0
601,1
602,0
603,0
604,2
605,0
606,1
607,0
608,0
609,2
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,2
620,2
621,2
622,1
623,0
624,1
625,2
626,1
627,1
628,2
629,1
630,0
631,2
632,1
633,2
634,0
635,0
636,1
637,1
638,2
639,1
640,0
641,1
642,0
643,0
644,0
645,1
646,0
647,2
648,1
649,0
650,0
651,2
652,2
653,2
654,2
655,0
656,1
657,1
658,0
659,2
660,1
661,0
662,1
663,0
664,1
665,2
666,0
667,0
668,1
669,2
670,2
671,2
672,2
673,0
674,0
675,0
676,0
677,0
678,2
679,1
680,1
681,1
682,2
683,0
684,0
685,1
686,1
687,2
688,1
689,0
690,1
691,2
692,0
693,0
694,1
695,1
696,2
697,0
698,1
699,0
700,0
701,2
702,0
703,1
704,0
705,0
706,2
707,1
708,2
709,0
710,1
711,0
712,0
713,2
714,2
715,2
716,2
717,2
718,0
719,0
720,2
721,0
722,0
723,2
724,1
725,1
726,0
727,1
728,1
729,2
730,0
731,1
732,0
733,0
734,0
735,0
736,0
737,0
738,2
739,1
740,1
741,1
742,0
743,0
744,2
745,1
746,0
747,0
748,0
749,0
750,1
751,1
752,1
753,0
754,2
755,2
756,1
757,1
758,2
759,1
760,1
761,0
762,2
763,1
764,2
765,2
766,2
767,2
768,2
769,0
770,2
771,0
772,2
773,1
774,2
775,1
776,2
777,0
778,0
779,1
780,0
781,1
782,0
783,0
784,1
785,2
786,0
787,2
788,0
789,2
790,0
791,2
792,0
793,0
794,0
795,0
796,1
797,0
798,0
799,1
800,2
801,0
802,0
803,2
804,1
805,0
806,1
807,1
808,2
809,2
810,0
811,0
